number,review
152,"One can never have too many options for Tex Mex, and Vamonos is a welcome addition to the neighborhood. The space is gorgeous, little-changed from its appearance when Bullfight occupied it. Food is solid and I expect it to get better as they settle in.<br/><br/>First time out the GF and I each ordered a lunch combo plate with a taco, an enchilada, and (of course) rice and beans. She had chicken and I had beef. The beef was good, the chicken even better. My beef taco was essentially a fajita taco, which was neither lacking nor stellar, and and the enchilada pleasant but a bit on the bland side. Rice and beans were served family style in their own bowls on the table, but there wasn't room on the main plate for them until we'd made space by eating our other food. That's a minor complaint, as I usually only start in on rice and beans after I've dug into the main dish.<br/><br/>Looking over the menu I knew a second visit was in my future, to try the Texas Gulf Redfish entree. I came back for it and let me tell you, it was gorgeous in presentation, generous in proportion, and pretty tasty, too. The piece of fish was a notch above what one would expect in a redfish dish priced under $20, but like almost every piece of fish priced under $20 it was slightly overcooked and a tad bit dry. Soo close to being so good. The accompanying frijoles were a pleasant surprise, garlicky with perhaps a bit of citrus - certainly not the same-old-same-old. Served on a sizzle platter, the fish was surrounded with garnish that featured onions in three different ways - spring onions, sautéed fajita style, and in the pico de gallo garnish. Maybe a bit much on the onions, but they were well-prepared in each case.<br/><br/>Service was good, with none of the unevenness that often comes with places newly-opened. Attentive, casual and friendly. Pricing seems right - a bit more than what you'd pay for sloppy, low brow Tex Mex, but less than the most spendy places in the category. I think there's plenty of opportunity for them to refine the dishes to their best potential, the aesthetics of the space are great, and I look forward to dining here again."
153,Puffy Taco Tuesday- I ordered the beef. My puffy taco was waaayyy too greasy. The place is very cool - sat outside on patio with plenty of misters to keep it pleasant. Others had much more delicious looking dishes and the menu looked promising. I'll go back and give it another try. One problem: $12 glass of chardonnay.  Mucho $$$!  Crazy!!!
154,"Well done! I ordered the Pablo's Plato with the carnitas tacos and chicken enchiladas verde. Both were freaking delicious, but the carnitas stole the show. My partner ordered chicken enchiladas with poblano crema - simply fantastic. Our foods was served with refried beans and rice. The beans were phenomenal, kind of weird to rave about beans, but the flavor and texture were splendid. The rice was fluffy and served in the traditional way with carrots and corn. We washed it down with an El Camino, which really hit the spot. It might knock your socks off if you're a lightweight. I should also note that our server, Michael, was attentive, friendly, and helpful. Top-notch service all around.<br/><br/>One of my pet peeves though, which didn't impact my review because they had a high-quality full-service bar, is the beer selection. It drives me wild when you go to an ethnic-esque restaurant and the beer menu strictly adheres to that ethnicity. We're in Austin, home to some of the best breweries in the region, if not the entire U.S. Swap out some of those run-of-the-mill beers for some local favorites. Just a suggestion.<br/><br/>I could go on and on about more specifics, like the rich and authentic flavors of each dish, but I wouldn't want to spoil it for you. For the price, you're not going to get better Tex-Mex in ATX. We left very pleased."
155,"What a gem!!! Vamanos has been my go to Mexican spot for the last few months and honestly they have ruined other Mexican restaurants for me. Their margaritas are so delicious and fresh with a HUGE tequila, mezcal and sotol list. Their food is always delicious with interesting flavor combos but still so reasonably priced! Our favorite is the chicken enchiladas with poblano crema. They really raise the bar for enchiladas.<br/><br/>They seem to be a little short staffed some weeknights, but I promise you it is worth the wait! And they give the best free chips and 3 different types of delicious salsa to snack on while you wait, so who even cares if it takes a little longer?! Love this place!"
156,"Came here for lunch on a weekday with two others, and was caught by surprise when I saw the bill! $120 for 3 lunches and 3 drinks. Food was good, but $120? Not with all the Tex-Mex in Austin. Don't get me wrong, I enjoyed my meal but everything had this distinct sweet taste. Not bad but I rather have some spice over sweet in my Mexican/Tex-Mex food. Also think it's strange that they put this emphasis on the free chips and salsa when literally every other place ever does that lol"
157,New favorite restaurant in Austin! Super chic and casual vibe. The service was unbelievable and the food was delicious. (Always) free chips and salsa. Their house margaritas and chicken enchiladas with the poblano sauce were fantastic. Can't wait to come here again during Happy Hour!
158,"Very good food! Loved the Ranch Tacos with carnitas, beans, and rice. Prickly Pear margarita with tajjn on the rim was good. Salsa has the best flavor I've tasted in a while. Only wishes: menudo, tamales, and flan."
159,"I'm rating this on more of the customer service, since I only ordered the Queso Blanco (which was freaking FABULOUS!!!) but they have their business down.  I called initially, had a few questions the person answering the phone (sorry can't recall his name it was 3pm on 12//12) was SUPER COURTEOUS and polite.  I had to call back since I did not have my card - They were super nice and organized (and multi-tasking) and remembered what I called to order earlier.   They said to make sure the dish was hot they will make shortly and to call when I arrived.  I love the ""spots to pick-up order"" are all named after a Tequila.  I called upon arrival, spot on again courteous on the phone, super nice and brought me my chips and delicious queso STAT!   I will have to try this place for a full-fledged meal soon."
160,This is our favorite place to eat in the hood and we ordered out due to this situation and they sent a wonderful note of thanks with queso! It's beyond fabulous so give them a delivery try during this tough times.  To the Vamanos staff and owner stay well!
161,"Nice change of pace from the typical TexMex.  Don't go it you want a big plate of cheese enchilada with chili gravy.  Do go if you want a plate of beautiful folded enchiladas with lovely red sauce (or tomatillo or other). Tacos were the real stand out on the menu although I though some were better than others.  Fish tacos were good, but the carnitas were dreamy.  Lovely margaritas."
162,"First time here. <br/>I've tried to come a few times but they are closed on Sundays. <br/>Nice looking space. Cool bar. <br/>At first I was a bit put off by my greeter, but my server more than made up for it. <br/>Not inexpensive for lunch. Only a few options and they are all $10-11. <br/>But from my first taste of their table salsa I was in!<br/>Smokey, flavorful but not too hot. Great chips too. <br/>My server brought me a habanero salsa and a Serrano/lime that were both spectacular. <br/>I had what sounded simple enough: beef enchiladas. These were so fresh and flavorful!<br/>Really some of the best I've had in Austin. <br/>Served with beans and rice on the side, I was definitely full by the end of my meal. <br/>I can't wait to come back!"
163,"We were looking for a spot with a patio and happened upon Vamanos. Our server was very helpful with menu recommendations and all of her suggestions were delicious. A few high points were the queso, carnitas, chicken enchiladas with poblano sauce, and the beef enchiladas con carne. It is very close by our son's neighborhood and we will be back!!!"
164,Came based on a recommendation from a close friend and so glad I did.  Ordered the queso blanco all the way and split Pablo's Plato.  The chicken enchiladas with poblano cream sauce are amazing as are the carnitas  and skirt steak tacos served in grilled corn tortillas.  Staff are friendly and made excellent recommendations.  They surprised us with a complimentary sopapilla to finish our meal. I looking forward to coming back.
165,"Tried this place twice and wanted to give it a chance. The food is pricey and not anything to write home about. Also, they should consider adding more heat to everything."
166,"This place is great Tex-Mex.  Honestly, it is more $$ but I'm happy to pay more for better quality food and ingredients.  Most Tex-Mex these days is really poor quality, so I'm hoping this place does well as it's one of the few doing it right. <br/>Also, my new favorite Queso in Austin!  Can't wait to come back to try the Tuesday Puffy Tacos!"
167,"Don't be put off by the concrete facade when you pull up. What awaits you inside more than makes up for this. Sadly, I was so hungry, I forgot to take pictures of the food. Trust me, the picture to flavor ratio scale was heavy on the taste side. I love this place. It was our first time there. First you are greeted by some excellent staff. Our sever just started there, but she had skill. She brought us some chips and salsa that were simply awesome. Between our group we had several items on the menu. Everyone reported excellent food with excellent flavor. Everything was prepared and presented nicely. Great for lunch. Go here, you won't be disappointed."
168,"This place pulled up on Yelp and we decided to try it. First of all, our server Peña was awesome! He was so jovial, friendly and just overall so pleasant. For good, we ordered the queso, ceviche, tortilla soup and veggie enchiladas. Everything was so good! The ceviche was my personal favorite. The sauce was so different (I think they use ZingZang) and the fish was really fresh! I will definitely be back!"
169,"We chose Vamonos based on previous Yelp reviews. Glad we did! We started with margaritas and queso. The queso is one of THE best I've had, and I've had a lot! Their salsas were excellent as well. I ordered chicken quesadillas- very good. My hubs ordered grilled fish tacos. They used red fish and he loved them. Our son ordered a taco and enchilada- said everything was tasty. Service was outstanding. We will be back!"
170,"Came to enjoy happy hour at the bar, drinks were great! Tried all of the rocks drinks, queso and the tortilla soup all of which were amazing. Chips and salsa at a texmex place is a big factor for me and the salsa is awesome, it's got the perfect kick to it. Make sure to try the El Camino, mad dank. Super close to home. If you get a soup on HH it's only $3. Can't beat it. Cool spot, great patio, good vibes."
171,Great food but they have closed in their patio (to open up the indoor seating area and keep it all air conditioned). No true outdoor seating. Stupid during a pandemic.
172,"Oh, I am in LOVE! Puffy Tacos like they make in San Antonio. Light, fluffy and just a tiny bit crisp with great flavor but not overly greasy. Picadillo filling and I added some guacamole. They only serve them on Taco Tuesday but they are worth the wait. The guacamole appetizer was the perfect mix of lime and tomato. Robert P's service was excellent and he could teach alot of other servers around town the right way to do the job. The temperature and noise level were good and the outside patio with a brick wall, fans and misters looks like a great option when it is less than 90°. This will be my new Tuesday lunch spot."
173,My new fav tex mex place!   Wow we shared the Pablo combo.  The skirt steak tacos had a unique Smokey flavor.  The enchiladas were divine.  Everything was so flavorful!  Our waiter was awesome as well.  We will be back!
174,"I don't normally leave reviews, but this restaurant was amazing. I had the chicken enchiladas with poblano crema and they were amazing. I grew up in Texas so I've had a lot of enchiladas in my life, and these were the best enchiladas I've ever had. The owner of the restaurant was very nice, and he told us that their food is made with all fresh ingredients and never preprepared. This was evident in the taste of the food. This restaurant is one of the most underrated restaurant in Austin, and I highly recommend it. The atmosphere is also really nice and clean."
175,This place is being slept on. Which is perfect <br/>I've never waited to get a table and the HH prices are fair. The food is above avg for Mexican in Austin . And they do serve LAlo tequila that's the best part ! Oh and the cactus frozen!!!!
176,"I've driven past this place hundreds of times, but have never stopped in. With tons of Tex Mex places in the surrounding area, it's easy to get lost in a sea of chips, salsa, and margaritas. Boasting four different and equally delicious salsas, piping hot tortillas to accompany my perfectly cooked plate of carnitas, and a margarita with a legit tajin rim - I'm pretty sold. Add on top of that the incredibly friendly and attentive staff, you have yourself a winner."
177,"Love everything about this place. THE FOOD, the ambiance, the fabulous staff. Tied for 1st for my favorite queso in town and their cocktails are top notch."
178,Had a nice dinner here tonight. Our family ordered basically every type of enchilada on the menu. Service from Cody was great. Food was really good. We will be back! Thanks
179,"Y'all, this spot is legit and understated. So fucking glad this place didn't close over covid. Let me start  by saying their staff is friendly AF. Seriously. I'm native Texan and been in Austin a minute and this is one of the Mexican food joints I would recommend to anyone. Their margaritas, salsa (if you like it hot, ask for the hot options), and anything involving chicken. My favorite is the power bowl - so damn good and I've had it with chicken and shrimp. I've brought family here and they were all happy with what they ordered (beef, fajitas, guacamole, etc)."
180,"They screwed up my order - put ground beef in queso for a vegetarian - then tried to blame the person that ordered saying that they didn't specify, when they absolutely did (not sure what's unclear about ""queso, but vegetarian without the beef""). <br/><br/>The rice and refried beans both taste like water. I'm not even sure how that's possible, but they have absolutely no flavor, including salt.<br/><br/>I've been wanting to come here since I heard they were taking over Bullfight's old space. I love everything that Parkside does - Olive &amp; June is one of my favorite restaurants in town - but this is a huge miss. Nope."
181,"My first two visits to Vamonos for dinner were really good. Unfortunately, lunch today left me feeling disappointed and questioning if I'll be back anytime soon. <br/><br/>Quick overview: the food is tasty, the chips and salsa are fresh &amp; free, drinks are made well and yummy, the interior and patio ambience are nice, and dinner service is quick &amp; friendly.<br/><br/>The bad: our lunch server was way too fake nice and kept trying to upsell us without disclosing the charges. My friend agreed to add avocado to her taco plate and when it arrived we were both surprised at how little she received. We assumed it would be an extra charge, but we had no idea it would end up costing $3.50 for three tiny slivers of avocado. We know avocados are pricey, and we know that restaurants charge more for things, but this way ridiculous. Prior to this, we noticed the two girls sitting next to us had an obviously displeased reaction to their bill and they didn't say anything to the server, but there were a lot of eye rolls and open mouths so I figured something was up with an unexpected upcharge. When we saw the unusually high price for an 1/8 of an avocado on our bill, I knew exactly why they had the reaction they did. We decided to say something to our server since the restaurant is new and we thought maybe it was mistake, but our server let us know that it was the correct charge and that he would let the managers know since they were in the middle of a manager's meeting. So, we sat there while he went over at that exact moment to inform the management about our feedback (awkward), and then came back with the bill and no adjustments. He said that they're a new restaurant and they're still working things out, but that they will take our feedback into account. They didn't take the outrageous charge of the avocado off, not even 50% off, none of it. I have no problem paying for something and getting my money's worth, but when you try to take advantage of customers by charging $3.50 for three tiny slivers when you can purchase an entire organic avocado at the store for $1.99 it really starts to look like you're scamming people when you're making $28 off one avocado. Heck, I would expect to pay $3.50 for a small side of guacamole, but not for sliced avocado.<br/><br/>I really thought this would be a regular spot for me since I like the food and had two good experiences, but I'm not sure it's worth it to come back after seeing how they handled this avocado debacle."
182,"3 stars to the deco and friendly service! Nicely done, loved all the plants <br/><br/>Food is overpriced. $10 for a cup of guacamole (need seasoning), rice and beans...not good. Too much cheese on the tacos (and I love cheese)! <br/>We also ordered the chicken enchiladas in green sauce...had very little sauce and lots of cheese, again. <br/><br/>It has potential."
183,Great food and great service. There were several of us in our party and we were all well tended to with our food and beverages. They have FOUR different kinds of salsa. The food was amazing. We really enjoyed ourselves here
184,I must say these are the best enchiladas I probably have ever tried in my life. I have not had the luxury to dine in yet but will continue to take out until covid is over and can't wait to sit on their patio ASAP! HIGHLY reccomend
185,"Yummy food in a cute locale - also, we took our kiddos and felt totally comfortable - bar and all! Staff was super welcoming and their patio is awesome! Good things all around!"
186,"I love this neighborhood joint. Good food, great margs, friendly attentive servers, kid-friendly. This evening, there was an issue with my entree. Our server Michael immediately took care of it and graciously removed both entree and replacement from the bill. Service like that makes me want to come back again. That, and the salsa!"
187,"First time here and loved it. Great food, service, and decor. Highly recommend the beef puffy tacos on Tuesdays! The happy hour prices are a nice perk too. The outdoor patio (covered) was comfortable and all COVID precautions were followed. The tables were nicely separated. Will definitely be back!"
188,This place is so good! The enchiladas taste so close to home! Just like my grandma made them at home! Make sure to check this place out!
189,"The salsa and the cheese dip are delicious, it's very different from all the other places I have been. The portion for each plate are just right made with local farm produces, highly recommend. The atmosphere has a modern and lively feel to it."
190,"Was in town for just a few days for Christmas so I decided to invite friends and family to have drinks and food at Vamonos. It was a great central location and we had close to 30 people there. My son and I just started Keto (yes, right before Christmas), and we were able to make the menu work for us. We skipped the chips, but ate the queso. It was amazing. So good that it wasn't weird eating it on its own. For a drink, I went for a ranch water with Casa Amigos (I know alcohol has sugar, but this drink was perfect for me). My husband was drinking the frozen palomas and he loved them! For food, I had the taco salad, minus fried tortilla shell, and added avocado and extra protein. We also had some extra queso on the table (we ordered a lot of quesos) and I added that on top too. Delicious and filling. Peña was our server and he was friendly and attentive. The owner, Chris, was there as well and stopped by several times to make sure the party was happy. <br/><br/>Overall, great experience. We will definitely go back!"
191,"We absolutely loved the food. The ""Queso Blanco"" is amazing. We loved the carnitas and skirt steak. Excellent service a"
192,"I love this place! I normally don't cheat on Eldorado but I had to check this place out. It's a very cool spot, great enchilada, poblano cream sauce to DIE FOR, amazing salsas! I've been 4 times and haven't had a bad experience. You won't be disappointed!"
193,"Great spot for lunch or dinner. Awesome ambience, family friendly and delicious food. The chicken enchiladas are creamy and flavorful. Definitely get the queso too, you won't be disappointed."
194,"Finally found the perfect Mexican spot. Delicious food, reasonably priced, and great service."
195,Outstanding service and quality of food. Extremely flavorful which is what we all look for. Staff could not have been more friendly. We will be back for sure
196,"This is one of my favorite restaurants in Austin. The food is spectacular and the service is 5 stars. The management and staff treat you like a person not a number. I would recommend any one to come and eat here. There margaritas are to die for, best in town."
197,"Great salsa presentation, the Prickly Pear Margarita, and excellent menu variety made this place my new favorite of the budding Airport area. I had the Ven Pescar redfish tacos which were cooked well, and the habanero salsa gave them a nice warm flavor that is pleasing to remember. I can't wait to explore other dishes in the future."
198,Awesome prickly pear margarita! Tortilla soup was good and the chips and queso are unique. Love the ambiance and super convenient location.
199,"Best enchiladas I've ever had! Incredible queso and margaritas, as well. Very kind wait staff and good music make for excellent vibes. I sympathize over the sometimes slow service, as they seem to be short-staffed due to Covid, but the phenomenal food and lighthearted atmosphere more than make up for a few extra minutes wait!"
200,"Pretty delicious! And a very cute spot with bright colors. This restaurant reminds me of some of my favorite Tex Mex spots like Ninfa's and El Tiempo in Houston, with a smaller and less varied menu. The redfish tacos are super fresh and I love the slaw on top. The salsa is smoky with the chips. I liked but didn't love the guacamole. Will definitely be back soon, want to try out the happy hour."
201,"The food was original, the service was kinda slow, the food not too spicy which is good.  There were only 2 waiters working there on Sunday, which was not really enough to service all the people there in the restaurant, I would suggest at least 3 waiters or waitresses working during the normal work day.  They were extremely friendly. <br/><br/>I tried the beef skirt tacos, they were excellent and the carnitas, pretty good, but only one single corn tortilla instead of 2.  I do not think they tortillas were homemade because they tasted a bit stale.  The chicken enchiladas were pretty tasty with the Verde Sauce.  The dark salsa that is served with the chips was top-notch, rich and full of flavor.  Wow, I would buy this sauce by the quart if I could.<br/><br/>If the service had been faster I would definitely be giving them a 4 star.<br/>I would like to return at a later date to try the steak skirt, I have a feeling that will be a pretty good dish."
202,"Could not get past the terrible service. Literally. First time we went we were seated and then waited for 10 minutes only to have someone come tell us that the kitchen was now closed. It was the middle of the day! Second time we put our name on the waiting list. 20 minute wait. No problem. 25 minutes rolls around and we ask to see where we are on the list and they said they called our name already? We didn't hear it. But okay. So we said how long until the next available table. They said sorry. You have to go to the back of the line. Nope. We walked out, like most should."
203,"So yummy, plus delicious frozen drinks and fabulous outdoor seating. The queso blanco is a must have!"
204,"I've been here about 5 times now and it's always on point! Not quite like mommas but it's definitely a close 2nd. The service is amazing and the food is great; the cueso is a cheesey mixture of sausage/ avacado/&amp; jalepenos; they have the margaritas down pat, enchiladas are tasty, ranch carnita tacos are delicious, and they ACE the beans and rice test with lots of fluff and flavor. See you guys soon!"
205,"Longtime Cherrywood Resident, had to review after our 1st time there. Excellent Poblano Cream sauce on my chicken enchiladas and the chicken inside was perfect. Delicious red drum taco. Presentation was lacking for the taco as it was in my enchilada sauce so I had to fork and knife it, no big deal. I had tea--delicious iced tea-he had a Paloma and a Michelada which I drooled over, they looked fantastic. I had to pick up kids so I was ice-tea-ing it. He got nachos, they looked and seemed to be excellent, he inhaled them. Our waitress was very nice.<br/>Very new restaurant so it took a while for everything, which we expected as it is just getting going. <br/>Advice, whether it's wanted or not, is to turn the music DOWN and maybe some more chilled out Mexican music? I LOVE Mexican music, am listening to Horizontes sp? on KUTX right now. I have also been a waitress for 13 years in my 20s, so I get the loud music thing..Maybe I am getting old, fair enough...The music during dinner was making me cringe a bit. Sorry!!! It was mixed in with some good stuff...More good music!! <br/>Finishing with more good...Great prices for everything!!!! Lots of families there, I think we are all excited about a new, affordable restaurant near our hood. Vamonos!! Couldn't figure out how to do the upside down exclamation point on my computer :)"
206,"Went mid day for lunch on a Saturday. We were greeted by management who was very friendly and inviting. He explained they were open less than a year. Server was ok, for having 2 tables our drinks came to us pretty slow. He may have been doubling as a bartender, we aren't sure but everyone knows drinks should come quickly. Chips were meh at best. Tasted very generic. Salsa, whole other story. Smoky, perfect amount of spice. Yum! Only complaint is there wasn't enough of it as it came in very tiny serving dish. Queso was very good, not to thin, great flavor, almost perfect! <br/><br/>Plates were beautiful and fresh and very tasty. Margaritas were better than average. Location left something to be desired but regardless We will be back."
207,"Very delicious food !! Cute restaurant, Instagram worthy!! Great music and Awesome customer service (specially Brandon). I would recommend the Pablos plate if your really hungry and the Tijuana Cesar salad for something still delicious but light."
208,"Not remarkable. We ordered the Ranch Tacos plate. The meat could have been cut up a little more and the flavor wasn't too my liking. It really wasn't our kind of place, especially for the prices. I doubt we will be back."
209,First time here and we will come back. Fresh salsa to start with perfect margarita says my hubby.  Poblano chicken enchiladas excelled and redfish tacos the best.  Service A+.
210,"I'm tempted to keep my damn mouth shut so they don't get too popular, but I just stopped in to try them out and everything was fantastic! The service was great, the food was yummy and very imaginative. Faithful to texmex tradition, but at the same time a new take on the concept. A lot of attention to detail and I can't wait to return!"
211,"For a quick lunch spot, this is great.  Since I was with my kids I didn't get to try their margarita. I heard they were good. We have a al pastor taco and chips and queso.  Kids loved the rice and queso.  Friendly service and good food."
212,"The food here is great, but the service is horribly slow. This is our second time here and both times the service has been slow. And not just getting our food, but little things like refilling drinks, refilling chips, etc."
213,"Taco Tuesday wasn't as packed as I thought it would be. They have a special for puffy tacos on Tuesday which looked good but I didn't try them. I had a steak taco and a fish taco that were both disappointing to be honest. The enchiladas were pretty good. Service was great, chips and water were refilled promptly. They have four salsas that you get for free with the chips. And they are delicious. The quest and guacamole are both a little over priced at $10 for a bowl. The queso was delicious but the guacamole was average."
214,"Excellent patio! We love coming here because it close to us and has a really fantastic patio. The restaurant is very child friendly which is great. I love the queso. It is absolutely amazing. Really enjoy the prickly pear margaritta. Been a little underwhelmed with the entrees thus far, but maybe We just havent found the right one yet. Service is very nice."
215,"Love this place!  Went there with family to celebrate two birthdays; the service was beyond excellent and the queso was soooo good. Our bartender/waiter (Pena) provided some recommendations for drinks and food, based on this being our first time there and the drinks and food were great!  <br/>Next time I'm there I'll be ordering the frozen Paloma and making sure Pena waits on us!!!"
216,Excellent food! What a pleasant surprise. We had no idea what we were walking into. The chips and salsa are delicious and the enchiladas are amazing. I'm already planning my next trip back!
217,"Delicious, comforting Tex-mex, great drinks, great service. It's a little bit more expensive than I'd expect, but I'm fine with it because, like I made clear, it's delicious."
218,Stopped by this place as they are now open for lunch. The staff is so friendly and welcoming. The food was delicious. I had the two tacos with shrimp. I like how they serve the beans and rice family style.  Overall a wonderful experience- I will be back!
219,"Dined at Vámonos in early May and service was very friendly.  There is also a generous portion of chips and salsa to welcome you.  This place is good for a healthier version of Mexican and Tex-Mex dishes, but overall flavor is not overly impressive.  I felt like I could cook these dishes at a comparable level at home."
220,"Plenty of Tex Mex in town, this place was expensive and not very memorable. What it did for me was paying a lot for a taco dish that had store bought tortillas. It killed the flavor. I've eaten at many other Tex Mex places that offered better dishes and cheaper."
221,"As someone who is a manager in the service industry it hurts me to write this review but the experience we had at Vamonos was truly awful. <br/>We were outside and were not greeted until the host noticed we had been out there too long to not have waters. Not a big deal. <br/>My husband ordered our cocktails and when the waitress dropped them off she spilled my cocktail on him. Again, accidents happen. We understand that. But the service just continued in a spiral. I asked for water and didn't get it. My husband ordered a draft beer and got a different drink. When we finally did get our check the spilled cocktail was on it and then we sat there for quite some time with the card ready to go before someone else had to run it only because they wanted our table for people who were waiting and the entire time we did not talk to a manager."
222,"Amazing service. Peña is a great bartender and super hospitable. Beautiful decor! The chicken enchiladas have a subtle yet fulfilling smokey-taste to them, because they cook their food atop a wood burning flame. Super impressed. Everyone should stop by! I had a margarita and idk why it tasted so good, maybe because they were playing great tunes but I'll def be coming back for more!"
223,Oh my word. I'm so picky about Mexican. This place is legit. Queso Margs  Skirt Steak  and it wasn't over priced. Casual but not so casual you couldn't take a date.  Robert was our waiter. Very nice . This place deserves to stay.
224,I've been twice so far and the service was good both times especially for a newly opened restaurant.  I had the enchiladas as well as the queso.  Queso was delicious!  Enchiladas were decent- the second time I went I changed the sauce and it really helped.  I heard the skirt steak was very good too.  It will definitely be in the restaurant rotation for me and look forward to going back again soon.
225,"This is my new favorite restaurant! Loved everything about it. Great Food, Drinks, Music and hospitality. We started with a few drinks and appetizers. I had the Paloma ( totally recommend).  The Ceviche was  flavorful and made with red fish. The guacamole was also very tasteful as was the queso. I ordered the red fish tacos and drizzled the habanero sauce. My mouth is watering just thinking about it. My husband ordered the beef enchiladas and said they were unique (not your ordinary Tex-mex enchiladas). I honestly can't wait to return."
226,"The salsas are handmade, rice and beans have awesome taste,  Adobo chicken and shrimp have exquisite taste. It was my 1st time there, but I WILL BE BACK!!!!!!!!"
227,Best shrimp quesadillas and queso dip in Austin!   <br/><br/>Pena is the real deal when it comes to those margaritas on the rocks... sorry Ruben :)
228,"I wish I could give more stars! The food, drinks, and  atmosphere were on point!!! The frozen PALOMA was very smooth and yummy, and they don't use well tequila :) ... The waitstaff were very attentive and very sweet. I'll be back! Checkout their HH."
229,"The very best Tex Mex in Austin experienced in a long time. Waitstaff treat guests like royalty. Fantastic original hot Salsas. Superb margaritas. The best carnitas ever. Warm fresh made sopapillas. Super cool patio with chilling mist fans, dog friendly. Vamonos!!"
230,"Wow, this is very good Mexican food. I grew up in Del Rio and this is as close to home as I could imagine. Great fajita taco, the meat could be a bit more tender, but excellent beef enchiladas! Salsas were excellent, try the habanero (hot, but not crazy hot. Excellent flavor, which is unusual for habanero). Excellent margaritas, need I say more?"
231,First time here- I've been to this location when it was Bullfight so I was interested to see what they did with it. This will definitely be a go to spot. Salsa was great as was the queso blanco. Margaritas cold and strong. Food was fresh and tasty. There were a few small hiccups ( there was a little wait for a waitress but when someone noticed we hadn't been helped they stepped in and got our drink and appetizer order. Being that it's an inside/ outside restaurant there were some flies that kept buzzing around ( a little annoying ) We will definitely be coming back and trying more things
232,"So freaking good! Peñas is the best waiter anywhere. Seriously, some of the best food in Austin. Totally worth the drive. Enjoy!"
233,"This place has a great ambiance, and some pretty tasty margaritas! Perfect place to beat the heat. Got the cheese enchiladas, and I found them to be pretty standard the dishes on the neighboring tables looked good, but I found there to be limited vegetarian options. The service was super friendly and attentive though!"
234,"Vamonos has been open less than a week, but after my first visit, I predict it will be my go-to Mexican restaurant. It has a casual upscale interior Mexican vibe even though it's reasonably priced and bills itself as a Tex-Mex eatery. They play great music at a volume that doesn't require shouting to be heard and... <br/><br/>the food is fabulous! My daughter and I ordered Power Bowls for $13 - Mine had tasty grilled redfish and my daughter's had delicious carnitas. They both tasted fresh, full of salad fixings, rice and the protein (which was included in the price). My wife had enchiladas verdes even though they weren't on the menu. The enchiladas were folded in half, which reminded me of enchiladas potosinas that I once had in San Luis Potosí. I also had a good house margarita on the rocks. Staff were friendly and service was good. <br/><br/>I highly recommend this neighborhood gem on Airport Blvd!"
235,"Amazing!  Delicious food, exceptional service and vibrant atmosphere!  Thoroughly enjoyed my visit here and it is instantly a new Favorite!"
236,Fantastic find!  Read about Vamonos in an article and couldn't be more pleased that we tried it. Great staff. Excellent Mexican martini with an impressive selection of tequilas. Ceviche was excellent. Chicken enchiladas were exceptional with wood fired flavor of chicken. Fish tacos also great. Highly recommend.
237,"Good food but the most abysmal service I've ever had. They staffed one waiter for a party of 20 that had been reserved a month in advance. One girl got a margarita dumped down her back and it took two hours for another girl to get a drink. Would never, ever, ever come back here with a party of more than 2."
238,"Good happy hour prices on apps and drinks but the food is unremarkable and, honestly, nothing much to write about. In the competitive restaurant landscape of Austin, this one is not worth revisiting."
239,"We walked into a restaurant with beautiful colors and bad a$$ music. We were seated immediately and brought an amazing round of salsas and chips. I recommend getting your taste buds wrapped around there green salsa (this is a minced chili and lime type salsa). We sat by the doors with a half inside and half outside type atmosphere. (Temperature was perfect  around 6-7pm. Around 73 degrees as I write this.) All four of us ordered shots from a very nice list of tequilas. I had the ranch tacos and a ""ranch water"" for my drink. I recommend the ranch tacos because they're juicy and flavorful and just all around amazing. PLUS, you can pick and choose 3 different proteins if you want. One per taco of course lol. I had the red fish and two chicken. The flavor is AMAZING! All around amazing staff, suuuuuper good waitress, the manager was on the ball with the front of the house. This place is definitely a great place to check out. 5 stars!"
240,"Wish we'd tried this cute place earlier! Love it! GREAT marg on the rocks and another drink (can't rem name) that tastes similar to an Old Fashioned was excellent. The salsa is perfect!<br/>Two small dings: after being seated, we were apparently forgotten but finally got a very sweet server; and they need to step up seasoning on the beans and rice. We found pouring the great salsa on the rice really transformed it. <br/>Back to the good stuff. The chili con carne on the cheese enchiladas is addictive. So nice to see white cheese instead of orange. Can't wait to try the white queso, which I hear is fantastic. But the star of the evening was the ceviche-- don't miss this treat! We compare everyone's ceviche to the traditional one served at Manuel's on Jollyville Rd and this one is the only one that comes close. Loved it! <br/>So this place is a definite winner and I can see them getting even better as they work out any newbie kinks, so we plan many future visits!"
241,Chips and salsa were solid. Queso was great (I'm a super picky judge of queso.) I ordered the margarita which was perfect.. not too sweet. I also ordered the ranch water which was super light and refreshing - for the ladies who are trying to watch their figures. Tortilla soup is $3 on happy hour! Great spot when the weather is nice.. part of the window wall slides open to the patio letting in the perfect breeze. Cool atmosphere. Happy to have this place open up right by the house!
